part name,symbol,size (imp),max current,unit price,units per build,units in stock,On Order,order total,Manufacturer ID,source url,MacroFab HP,datasheet,datasheet2,,
p-channel mosfet,Q1,"TO-236-3, SC-59, SOT-23-4",220mA continuous,$0.10,1,97,SMD Binder - ICs,$0.10,BSS84,http://www.digikey.com/product-detail/en/fairchild-semiconductor/BSS84/BSS84CT-ND/244297,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyBSS84,MF-DSC-SOT233-BSS84,https://www.fairchildsemi.com/datasheets/BS/BSS84.pdf,,
n-channel mosfet,"Q3, Q4","TO-236-3, SC-59, SOT-23-3",220mA continuous,$0.09,2,59,SMD Binder - ICs,$0.19,BSS138,http://www.digikey.com/product-detail/en/BSS138/BSS138CT-ND/244294,,MF-DSC-SOT233-BSS138,https://www.fairchildsemi.com/datasheets/BS/BSS138.pdf,,
R 1k,"R1, R2, R3, R12",603,,$0.01,4,993,SMD Binder - Resistors,$0.04,RC0603FR-071KL,http://www.digikey.com/product-detail/en/RC0603FR-071KL/311-1.00KHRCT-ND/729790,,MF-RES-0603-1K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,
R 10k,"R4, R5, R8",603,,$0.01,3,979,SMD Binder - Resistors,$0.03,RC0603FR-0710KL,http://www.digikey.com/product-detail/en/RC0603FR-0710KL/311-10.0KHRCT-ND/729827,,MF-RES-0603-10K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,
R 4.7k,"R6, R7",1206,,$0.01,2,68,SMD Binder - Resistors,$0.01,RC0603FR-074K7L,http://www.digikey.com/product-detail/en/RC0603FR-074K7L/311-4.70KHRCT-ND/730159,,MF-RES-0603-5.6K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,
R 470k,R9,603,,$0.01,1,68,SMD Binder - Resistors,$0.01,RC0603FR-07470KL,http://www.digikey.com/product-detail/en/RC0603FR-07470KL/311-470KHRCT-ND/730204,,MF-RES-0603-470K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,
R 100k,R10,603,,$0.01,1,55,SMD Binder - Resistors,$0.01,RC0603FR-07100KL,http://www.digikey.com/product-detail/en/RC0603FR-07100KL/311-100KHRCT-ND/729836,,MF-RES-0603-100K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,
reset- side switch,SW1,EVQ-P7A,,$0.69,1,7,SMD Binder - Misc,$0.69,EVQ-P7A01P,http://www.digikey.com/product-detail/en/EVQ-P7A01P/P16763CT-ND/4429456,http://www.mouser.com/ProductDetail/Panasonic/EVQ-P7A01P/?qs=%2fha2pyFadui1eRMhiBGh5b95CZR4xrSQCcoG3vI4ncMk%2f%2f%252btyow6ew%3d%3d,N,"http://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/EVQP(7,3,9P7).pdf",,
acc/gyro,U1,24pin QFN 4x4,,$10.72,1,4,SMD Binder - ICs,$10.72,MPU-6000,http://www.digikey.com/product-detail/en/MPU-6000/1428-1005-1-ND/4038006,,N,http://store.invensense.com/datasheets/invensense/MPU-6050_DataSheet_V3%204.pdf,,
STM32F405,U2,100LQFP,,$10.63,1,2,SMD Binder - ICs,$10.63,STM32F405VGT6,http://www.digikey.com/product-detail/en/STM32F405VGT6/497-11910-ND/2757670,http://www.mouser.com/ProductDetail/STMicroelectronics/STM32F405VGT6/?qs=sGAEpiMZZMuoKKEcg8mMKD%2fuJqcAEcv5%2fvs5yPDPRLM%3d,N,http://www.st.com/web/en/resource/technical/document/datasheet/DM00037051.pdf,Total Price,$37.81
3.3v regulator,U3,SOT23-5,0.3A,$0.49,1,8,SMD Binder - ICs,$0.49,TLV70233DBVR,http://www.digikey.com/product-detail/en/TLV70233DBVR/296-32415-1-ND/3505572,http://www.mouser.com/ProductDetail/Texas-Instruments/TLV70233DBVR/?qs=sGAEpiMZZMu%2feW%252ba9Wiy7YTpE8hEJFai,MF-REG-SOT235-3.3V-300mA,http://www.ti.com/lit/ds/symlink/tlv702.pdf,,
8mhz resonator,X1,,,$0.38,1,8,SMD Binder - Misc,$0.38,CSTCE8M00G55-R0,https://www.digikey.com/product-detail/en/CSTCE8M00G55-R0/490-1195-1-ND/584632,http://www.mouser.com/ProductDetail/Murata/CSTCE8M00G55-R0/?qs=%2fha2pyFadugMR2%2fN3NvY%2fcyJlgwZ9hyXdq2UbA2N7t9grZdFHB6DSw%3d%3d,N,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx,,
1x2 housing,For ESC lines,,,$0.08,4,48,SMD Binder - Connectors,$0.31,M20-1060200,http://www.digikey.com/product-detail/en/M20-1060200/952-2227-ND/3728191,http://www.mouser.com/ProductDetail/Harwin/M20-1060200/?qs=%2fha2pyFadugk1b9G9FjqOOaWFROvtsP6MqOWqaBasu2BVVtuX7YejA%3d%3d,N,,,
